Model,Organization,Global Average,Reasoning Average,Coding Average,Agentic Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average
Qwen 3 235B A22B Thinking 2507,Alibaba,70.76,91.56,67.18,20.0,81.14,74.65,70.86,89.96
DeepSeek V3.1 Thinking,DeepSeek,70.75,90.67,70.31,25.0,88.72,64.33,70.4,85.85
DeepSeek R1 (2025-05-28),DeepSeek,70.1,91.08,71.4,26.67,85.26,71.54,64.82,79.95
DeepSeek V3.1 Terminus Thinking,DeepSeek,69.97,85.61,71.4,20.0,89.28,71.76,69.46,82.28
Qwen 3 Max,Alibaba,69.14,89.0,71.78,26.67,83.17,65.37,71.45,76.55
Qwen 3 Next 80B A3B Instruct,Alibaba,66.54,88.22,68.2,11.67,80.67,68.63,68.17,80.2
Qwen 3 Next 80B A3B Thinking,Alibaba,65.29,91.25,60.66,10.0,82.37,73.16,54.48,85.08
DeepSeek R1,DeepSeek,65.15,77.17,76.07,20.0,77.91,69.63,54.77,80.51
Qwen 3 235B A22B Thinking,Alibaba,64.93,77.94,66.41,13.33,80.15,68.31,60.61,87.73
Qwen 3 235B A22B Instruct 2507,Alibaba,64.72,86.89,66.41,13.33,79.18,65.24,66.29,75.7
DeepSeek V3.1 Terminus,DeepSeek,63.76,64.58,69.61,18.33,80.69,67.3,63.88,81.9
Qwen 3 32B,Alibaba,63.71,83.08,64.24,10.0,80.05,68.29,55.15,85.17
GLM 4.5,Z.AI,63.55,69.61,60.33,23.33,82.08,66.29,61.62,81.58
Kimi K2 Instruct,Moonshot AI,62.7,62.97,71.78,20.0,74.41,63.41,63.85,82.47
DeepSeek V3.1,DeepSeek,62.55,59.17,68.52,21.67,78.87,65.42,59.8,84.38
Qwen 3 Coder 480B A35B Instruct,Alibaba,60.45,54.58,73.19,25.0,67.28,64.68,64.26,74.16
GLM 4.5 Air,Z.AI,59.93,78.31,57.78,15.0,79.37,65.96,44.29,78.84
DeepSeek V3 0324,DeepSeek,55.99,44.28,68.91,15.0,71.44,64.02,46.82,81.47
GPT OSS 120b,OpenAI,54.6,77.61,58.8,10.0,69.54,56.77,43.15,66.3
Phi-4 Reasoning Plus,Microsoft,49.27,57.83,60.59,5.0,62.83,54.74,30.69,73.17
DeepSeek R1 Distill Llama 70B,DeepSeek,48.53,59.81,46.65,6.67,58.8,60.81,37.05,69.94
Llama 4 Maverick 17B 128E Instruct,Meta,47.78,43.83,54.19,3.33,60.58,47.11,49.65,75.75
Mistral Large,Mistral AI,43.31,33.83,62.89,1.67,42.2,54.2,40.45,67.93
Qwen2.5 72B Instruct Turbo,Alibaba,42.51,34.08,57.26,3.33,51.88,50.16,36.47,64.39
Gemma 3 27B,Google,42.0,34.42,48.94,3.33,52.27,38.8,41.31,74.9
DeepSeek R1 Distill Qwen 32B,DeepSeek,41.44,44.36,47.03,5.0,60.13,46.94,30.92,55.71
Gemma 3 12B,Google,37.08,28.61,42.16,1.67,48.14,33.86,31.27,73.83
Gemma 3n E4B IT,Google,27.85,21.94,31.48,1.67,32.28,16.94,25.89,64.74
Gemma 3 4B,Google,23.33,19.78,15.68,0.0,31.33,17.9,15.06,63.58
Gemma 3n E2B IT,Google,21.74,19.67,16.44,1.67,26.32,15.67,15.04,57.41
