iteration,avg_ctr,topic,persona
0,8.2,Stoicism,Discussion-Focused
1,7.4,Stoicism,Discussion-Focused
2,8.052631578947368,Stoicism,Discussion-Focused
3,7.9,Stoicism,Discussion-Focused
4,7.7894736842105265,Stoicism,Discussion-Focused
5,8.736842105263158,Stoicism,Discussion-Focused
6,7.842105263157895,Stoicism,Discussion-Focused
7,8.0,Stoicism,Discussion-Focused
8,7.9,Stoicism,Discussion-Focused
9,8.0,Stoicism,Discussion-Focused
0,7.65,Stoicism,History-Focused
1,8.25,Stoicism,History-Focused
2,7.85,Stoicism,History-Focused
3,7.947368421052632,Stoicism,History-Focused
4,7.8125,Stoicism,History-Focused
5,7.85,Stoicism,History-Focused
6,7.235294117647059,Stoicism,History-Focused
7,7.555555555555555,Stoicism,History-Focused
8,7.15,Stoicism,History-Focused
9,6.95,Stoicism,History-Focused
0,5.65,Stoicism,Event-Focused
1,5.8,Stoicism,Event-Focused
2,5.6875,Stoicism,Event-Focused
3,5.75,Stoicism,Event-Focused
4,5.35,Stoicism,Event-Focused
5,6.25,Stoicism,Event-Focused
6,5.7894736842105265,Stoicism,Event-Focused
7,5.421052631578948,Stoicism,Event-Focused
8,5.777777777777778,Stoicism,Event-Focused
9,5.894736842105263,Stoicism,Event-Focused
0,6.15,Stoicism,Person-Focused
1,6.7,Stoicism,Person-Focused
2,6.45,Stoicism,Person-Focused
3,6.6,Stoicism,Person-Focused
4,7.05,Stoicism,Person-Focused
5,6.9375,Stoicism,Person-Focused
6,6.9375,Stoicism,Person-Focused
7,6.7,Stoicism,Person-Focused
8,6.9,Stoicism,Person-Focused
9,6.684210526315789,Stoicism,Person-Focused
0,2.9,Stoicism,Location-Focused
1,3.5,Stoicism,Location-Focused
2,3.05,Stoicism,Location-Focused
3,3.4375,Stoicism,Location-Focused
4,3.6875,Stoicism,Location-Focused
5,3.7,Stoicism,Location-Focused
