domain,method,topic,iteration,ctr
wikipedia,no_drop,Artificial Superintelligence,0,0.00708
wikipedia,no_drop,Artificial Superintelligence,1,0.0058
wikipedia,no_drop,Artificial Superintelligence,2,0.004971428571428572
wikipedia,no_drop,Artificial Superintelligence,3,0.0040999999999999995
wikipedia,no_drop,Artificial Superintelligence,4,0.0037555555555555554
wikipedia,no_drop,Artificial Superintelligence,5,0.0031399999999999996
wikipedia,no_drop,Artificial Superintelligence,6,0.003
wikipedia,no_drop,Artificial Superintelligence,7,0.0024
wikipedia,no_drop,Artificial Superintelligence,8,0.002369230769230769
wikipedia,no_drop,Artificial Superintelligence,9,0.0024307692307692303
wikipedia,no_drop,Artificial Superintelligence,10,0.0019000000000000004
wikipedia,no_drop,Artificial Superintelligence,11,0.00176
wikipedia,no_drop,Artificial Superintelligence,12,0.0015599999999999998
wikipedia,no_drop,Artificial Superintelligence,13,0.00232
wikipedia,no_drop,Artificial Superintelligence,14,0.002125
wikipedia,no_drop,Carl Jung,0,0.00888
wikipedia,no_drop,Carl Jung,1,0.007233333333333334
wikipedia,no_drop,Carl Jung,2,0.008466666666666667
wikipedia,no_drop,Carl Jung,3,0.0074333333333333335
wikipedia,no_drop,Carl Jung,4,0.006028571428571429
wikipedia,no_drop,Carl Jung,5,0.006714285714285714
wikipedia,no_drop,Carl Jung,6,0.0067428571428571425
wikipedia,no_drop,Carl Jung,7,0.004575
wikipedia,no_drop,Carl Jung,8,0.004725
wikipedia,no_drop,Carl Jung,9,0.004577777777777777
wikipedia,no_drop,Carl Jung,10,0.00404
wikipedia,no_drop,Carl Jung,11,0.00422
wikipedia,no_drop,Carl Jung,12,0.0036
wikipedia,no_drop,Carl Jung,13,0.004739999999999999
wikipedia,no_drop,Carl Jung,14,0.00402
wikipedia,no_drop,Friedrich Nietzsche,0,0.01572
wikipedia,no_drop,Friedrich Nietzsche,1,0.012833333333333334
wikipedia,no_drop,Friedrich Nietzsche,2,0.011942857142857142
wikipedia,no_drop,Friedrich Nietzsche,3,0.009399999999999999
wikipedia,no_drop,Friedrich Nietzsche,4,0.009377777777777778
wikipedia,no_drop,Friedrich Nietzsche,5,0.007620000000000002
wikipedia,no_drop,Friedrich Nietzsche,6,0.007880000000000002
wikipedia,no_drop,Friedrich Nietzsche,7,0.007745454545454545
wikipedia,no_drop,Friedrich Nietzsche,8,0.006033333333333332
wikipedia,no_drop,Friedrich Nietzsche,9,0.006100000000000001
wikipedia,no_drop,Friedrich Nietzsche,10,0.006600000000000001
wikipedia,no_drop,Friedrich Nietzsche,11,0.006
wikipedia,no_drop,Friedrich Nietzsche,12,0.005830769230769231
wikipedia,no_drop,Friedrich Nietzsche,13,0.0068153846153846155
wikipedia,no_drop,Friedrich Nietzsche,14,0.0054285714285714284
wikipedia,no_drop,History of film,0,0.01092
wikipedia,no_drop,History of film,1,0.009166666666666667
wikipedia,no_drop,History of film,2,0.008171428571428573
wikipedia,no_drop,History of film,3,0.0065
wikipedia,no_drop,History of film,4,0.005044444444444444
wikipedia,no_drop,History of film,5,0.0054
wikipedia,no_drop,History of film,6,0.0052
wikipedia,no_drop,History of film,7,0.003833333333333333
wikipedia,no_drop,History of film,8,0.00405
wikipedia,no_drop,History of film,9,0.0036307692307692313
wikipedia,no_drop,History of film,10,0.003228571428571428
wikipedia,no_drop,History of film,11,0.0026933333333333336
wikipedia,no_drop,History of film,12,0.0028375
wikipedia,no_drop,History of film,13,0.002552941176470588
wikipedia,no_drop,History of film,14,0.0027647058823529413
wikipedia,no_drop,Ketogenic diet,0,0.0067599999999999995
wikipedia,no_drop,Ketogenic diet,1,0.006299999999999999
wikipedia,no_drop,Ketogenic diet,2,0.0051142857142857144
wikipedia,no_drop,Ketogenic diet,3,0.003325
wikipedia,no_drop,Ketogenic diet,4,0.005050000000000001
wikipedia,no_drop,Ketogenic diet,5,0.0031999999999999997
wikipedia,no_drop,Ketogenic diet,6,0.00355
wikipedia,no_drop,Ketogenic diet,7,0.0037777777777777775
wikipedia,no_drop,Ketogenic diet,8,0.003911111111111112
wikipedia,no_drop,Ketogenic diet,9,0.0038666666666666663
wikipedia,no_drop,Ketogenic diet,10,0.00298
wikipedia,no_drop,Ketogenic diet,11,0.00334
wikipedia,no_drop,Ketogenic diet,12,0.003
wikipedia,no_drop,Ketogenic diet,13,0.00352
wikipedia,no_drop,Ketogenic diet,14,0.002672727272727273
wikipedia,no_drop,Petra,0,0.009680000000000001
wikipedia,no_drop,Petra,1,0.007999999999999998
wikipedia,no_drop,Petra,2,0.0082
wikipedia,no_drop,Petra,3,0.005971428571428571
wikipedia,no_drop,Petra,4,0.005685714285714285
wikipedia,no_drop,Petra,5,0.006314285714285715
wikipedia,no_drop,Petra,6,0.004775
wikipedia,no_drop,Petra,7,0.004066666666666666
wikipedia,no_drop,Petra,8,0.0044666666666666665
wikipedia,no_drop,Petra,9,0.004088888888888889
wikipedia,no_drop,Petra,10,0.00334
wikipedia,no_drop,Petra,11,0.0038399999999999997
wikipedia,no_drop,Petra,12,0.00396
wikipedia,no_drop,Petra,13,0.004127272727272728
wikipedia,no_drop,Petra,14,0.003072727272727273
wikipedia,no_drop,Socotra,0,0.0114
wikipedia,no_drop,Socotra,1,0.011099999999999999
wikipedia,no_drop,Socotra,2,0.00937142857142857
wikipedia,no_drop,Socotra,3,0.008150000000000001
wikipedia,no_drop,Socotra,4,0.0075
wikipedia,no_drop,Socotra,5,0.006355555555555555
wikipedia,no_drop,Socotra,6,0.0061600000000000005
wikipedia,no_drop,Socotra,7,0.0058200000000000005
wikipedia,no_drop,Socotra,8,0.00634
wikipedia,no_drop,Socotra,9,0.0067599999999999995
wikipedia,no_drop,Socotra,10,0.00472
wikipedia,no_drop,Socotra,11,0.00584
wikipedia,no_drop,Socotra,12,0.005309090909090908
wikipedia,no_drop,Socotra,13,0.004890909090909091
wikipedia,no_drop,Socotra,14,0.00490909090909091
wikipedia,no_drop,Stoicism,0,0.00872
wikipedia,no_drop,Stoicism,1,0.007299999999999998
wikipedia,no_drop,Stoicism,2,0.0067428571428571425
wikipedia,no_drop,Stoicism,3,0.006285714285714285
wikipedia,no_drop,Stoicism,4,0.005771428571428572
wikipedia,no_drop,Stoicism,5,0.005225
wikipedia,no_drop,Stoicism,6,0.005625
wikipedia,no_drop,Stoicism,7,0.004866666666666667
wikipedia,no_drop,Stoicism,8,0.004644444444444444
wikipedia,no_drop,Stoicism,9,0.004311111111111111
wikipedia,no_drop,Stoicism,10,0.004555555555555556
wikipedia,no_drop,Stoicism,11,0.004222222222222222
