iteration,avg_ctr,topic,persona
0,5.0,Stoicism,Price
1,5.0,Stoicism,Price
2,5.0,Stoicism,Price
3,5.0,Stoicism,Price
4,5.0,Stoicism,Price
5,5.0,Stoicism,Price
6,5.0,Stoicism,Price
7,5.0,Stoicism,Price
8,5.0,Stoicism,Price
9,5.0,Stoicism,Price
0,5.0,Stoicism,Quality
1,5.0,Stoicism,Quality
2,5.0,Stoicism,Quality
3,5.0,Stoicism,Quality
4,5.0,Stoicism,Quality
5,5.0,Stoicism,Quality
6,5.0,Stoicism,Quality
7,5.0,Stoicism,Quality
8,5.0,Stoicism,Quality
9,5.0,Stoicism,Quality
0,5.0,Stoicism,Brand Reputation
1,5.0,Stoicism,Brand Reputation
2,5.0,Stoicism,Brand Reputation
3,5.0,Stoicism,Brand Reputation
4,5.0,Stoicism,Brand Reputation
5,5.0,Stoicism,Brand Reputation
6,5.0,Stoicism,Brand Reputation
7,5.0,Stoicism,Brand Reputation
8,5.0,Stoicism,Brand Reputation
9,5.0,Stoicism,Brand Reputation
0,5.0,Stoicism,Features & Functionality
1,5.0,Stoicism,Features & Functionality
2,5.0,Stoicism,Features & Functionality
3,5.0,Stoicism,Features & Functionality
4,5.0,Stoicism,Features & Functionality
5,5.0,Stoicism,Features & Functionality
6,5.0,Stoicism,Features & Functionality
7,5.0,Stoicism,Features & Functionality
8,5.0,Stoicism,Features & Functionality
9,5.0,Stoicism,Features & Functionality
0,5.0,Stoicism,Ethical Considerations
1,5.0,Stoicism,Ethical Considerations
2,5.0,Stoicism,Ethical Considerations
3,5.0,Stoicism,Ethical Considerations
4,5.0,Stoicism,Ethical Considerations
5,5.0,Stoicism,Ethical Considerations
6,5.0,Stoicism,Ethical Considerations
7,5.0,Stoicism,Ethical Considerations
8,5.0,Stoicism,Ethical Considerations
9,5.0,Stoicism,Ethical Considerations
0,5.0,Stoicism,Discussion-Focused
1,5.0,Stoicism,Discussion-Focused
2,5.0,Stoicism,Discussion-Focused
3,5.0,Stoicism,Discussion-Focused
4,5.0,Stoicism,Discussion-Focused
5,5.0,Stoicism,Discussion-Focused
6,5.0,Stoicism,Discussion-Focused
7,5.0,Stoicism,Discussion-Focused
8,5.0,Stoicism,Discussion-Focused
9,5.0,Stoicism,Discussion-Focused
0,5.0,Stoicism,History-Focused
1,5.0,Stoicism,History-Focused
2,5.0,Stoicism,History-Focused
3,5.0,Stoicism,History-Focused
4,5.0,Stoicism,History-Focused
5,5.0,Stoicism,History-Focused
6,5.0,Stoicism,History-Focused
7,5.0,Stoicism,History-Focused
8,5.0,Stoicism,History-Focused
9,5.0,Stoicism,History-Focused
0,5.0,Stoicism,Event-Focused
1,5.0,Stoicism,Event-Focused
2,5.0,Stoicism,Event-Focused
3,5.0,Stoicism,Event-Focused
4,5.0,Stoicism,Event-Focused
5,5.0,Stoicism,Event-Focused
6,5.0,Stoicism,Event-Focused
7,5.0,Stoicism,Event-Focused
8,5.0,Stoicism,Event-Focused
9,5.0,Stoicism,Event-Focused
0,5.0,Stoicism,Person-Focused
1,5.0,Stoicism,Person-Focused
2,5.0,Stoicism,Person-Focused
3,5.0,Stoicism,Person-Focused
4,5.0,Stoicism,Person-Focused
5,5.0,Stoicism,Person-Focused
6,5.0,Stoicism,Person-Focused
7,5.0,Stoicism,Person-Focused
8,5.0,Stoicism,Person-Focused
9,5.0,Stoicism,Person-Focused
0,5.0,Stoicism,Location-Focused
1,5.0,Stoicism,Location-Focused
2,5.0,Stoicism,Location-Focused
3,5.0,Stoicism,Location-Focused
4,5.0,Stoicism,Location-Focused
5,5.0,Stoicism,Location-Focused
6,5.0,Stoicism,Location-Focused
7,5.0,Stoicism,Location-Focused
8,5.0,Stoicism,Location-Focused
9,5.0,Stoicism,Location-Focused
0,5.0,Friedrich Nietzsche,Price
1,5.0,Friedrich Nietzsche,Price
2,5.0,Friedrich Nietzsche,Price
3,5.0,Friedrich Nietzsche,Price
4,5.0,Friedrich Nietzsche,Price
5,5.0,Friedrich Nietzsche,Price
6,5.0,Friedrich Nietzsche,Price
7,5.0,Friedrich Nietzsche,Price
8,5.0,Friedrich Nietzsche,Price
9,5.0,Friedrich Nietzsche,Price
0,5.0,Friedrich Nietzsche,Quality
1,5.0,Friedrich Nietzsche,Quality
2,5.0,Friedrich Nietzsche,Quality
3,5.0,Friedrich Nietzsche,Quality
4,5.0,Friedrich Nietzsche,Quality
5,5.0,Friedrich Nietzsche,Quality
6,5.0,Friedrich Nietzsche,Quality
7,5.0,Friedrich Nietzsche,Quality
8,5.0,Friedrich Nietzsche,Quality
9,5.0,Friedrich Nietzsche,Quality
0,5.0,Friedrich Nietzsche,Brand Reputation
1,5.0,Friedrich Nietzsche,Brand Reputation
2,5.0,Friedrich Nietzsche,Brand Reputation
3,5.0,Friedrich Nietzsche,Brand Reputation
4,5.0,Friedrich Nietzsche,Brand Reputation
5,5.0,Friedrich Nietzsche,Brand Reputation
6,5.0,Friedrich Nietzsche,Brand Reputation
7,5.0,Friedrich Nietzsche,Brand Reputation
8,5.0,Friedrich Nietzsche,Brand Reputation
9,5.0,Friedrich Nietzsche,Brand Reputation
0,5.0,Friedrich Nietzsche,Features & Functionality
1,5.0,Friedrich Nietzsche,Features & Functionality
2,5.0,Friedrich Nietzsche,Features & Functionality
3,5.0,Friedrich Nietzsche,Features & Functionality
4,5.0,Friedrich Nietzsche,Features & Functionality
5,5.0,Friedrich Nietzsche,Features & Functionality
6,5.0,Friedrich Nietzsche,Features & Functionality
7,5.0,Friedrich Nietzsche,Features & Functionality
8,5.0,Friedrich Nietzsche,Features & Functionality
9,5.0,Friedrich Nietzsche,Features & Functionality
0,5.0,Friedrich Nietzsche,Ethical Considerations
1,5.0,Friedrich Nietzsche,Ethical Considerations
2,5.0,Friedrich Nietzsche,Ethical Considerations
3,5.0,Friedrich Nietzsche,Ethical Considerations
4,5.0,Friedrich Nietzsche,Ethical Considerations
5,5.0,Friedrich Nietzsche,Ethical Considerations
6,5.0,Friedrich Nietzsche,Ethical Considerations
7,5.0,Friedrich Nietzsche,Ethical Considerations
8,5.0,Friedrich Nietzsche,Ethical Considerations
9,5.0,Friedrich Nietzsche,Ethical Considerations
0,5.0,Friedrich Nietzsche,Discussion-Focused
1,5.0,Friedrich Nietzsche,Discussion-Focused
2,5.0,Friedrich Nietzsche,Discussion-Focused
3,5.0,Friedrich Nietzsche,Discussion-Focused
4,5.0,Friedrich Nietzsche,Discussion-Focused
5,5.0,Friedrich Nietzsche,Discussion-Focused
6,5.0,Friedrich Nietzsche,Discussion-Focused
7,5.0,Friedrich Nietzsche,Discussion-Focused
8,5.0,Friedrich Nietzsche,Discussion-Focused
9,5.0,Friedrich Nietzsche,Discussion-Focused
0,5.0,Friedrich Nietzsche,History-Focused
1,5.0,Friedrich Nietzsche,History-Focused
2,5.0,Friedrich Nietzsche,History-Focused
3,5.0,Friedrich Nietzsche,History-Focused
4,5.0,Friedrich Nietzsche,History-Focused
5,5.0,Friedrich Nietzsche,History-Focused
6,5.0,Friedrich Nietzsche,History-Focused
7,5.0,Friedrich Nietzsche,History-Focused
8,5.0,Friedrich Nietzsche,History-Focused
9,5.0,Friedrich Nietzsche,History-Focused
0,5.0,Friedrich Nietzsche,Event-Focused
1,5.0,Friedrich Nietzsche,Event-Focused
2,5.0,Friedrich Nietzsche,Event-Focused
3,5.0,Friedrich Nietzsche,Event-Focused
4,5.0,Friedrich Nietzsche,Event-Focused
5,5.0,Friedrich Nietzsche,Event-Focused
6,5.0,Friedrich Nietzsche,Event-Focused
7,5.0,Friedrich Nietzsche,Event-Focused
8,5.0,Friedrich Nietzsche,Event-Focused
9,5.0,Friedrich Nietzsche,Event-Focused
0,5.0,Friedrich Nietzsche,Person-Focused
1,5.0,Friedrich Nietzsche,Person-Focused
2,5.0,Friedrich Nietzsche,Person-Focused
3,5.0,Friedrich Nietzsche,Person-Focused
4,5.0,Friedrich Nietzsche,Person-Focused
5,5.0,Friedrich Nietzsche,Person-Focused
6,5.0,Friedrich Nietzsche,Person-Focused
7,5.0,Friedrich Nietzsche,Person-Focused
8,5.0,Friedrich Nietzsche,Person-Focused
9,5.0,Friedrich Nietzsche,Person-Focused
0,5.0,Friedrich Nietzsche,Location-Focused
1,5.0,Friedrich Nietzsche,Location-Focused
2,5.0,Friedrich Nietzsche,Location-Focused
3,5.0,Friedrich Nietzsche,Location-Focused
4,5.0,Friedrich Nietzsche,Location-Focused
5,5.0,Friedrich Nietzsche,Location-Focused
6,5.0,Friedrich Nietzsche,Location-Focused
7,5.0,Friedrich Nietzsche,Location-Focused
8,5.0,Friedrich Nietzsche,Location-Focused
9,5.0,Friedrich Nietzsche,Location-Focused
0,5.0,Artificial Superintelligence,Price
1,5.0,Artificial Superintelligence,Price
2,5.0,Artificial Superintelligence,Price
3,5.0,Artificial Superintelligence,Price
4,5.0,Artificial Superintelligence,Price
5,5.0,Artificial Superintelligence,Price
6,5.0,Artificial Superintelligence,Price
7,5.0,Artificial Superintelligence,Price
8,5.0,Artificial Superintelligence,Price
9,5.0,Artificial Superintelligence,Price
0,5.0,Artificial Superintelligence,Quality
1,5.0,Artificial Superintelligence,Quality
2,5.0,Artificial Superintelligence,Quality
3,5.0,Artificial Superintelligence,Quality
4,5.0,Artificial Superintelligence,Quality
5,5.0,Artificial Superintelligence,Quality
6,5.0,Artificial Superintelligence,Quality
7,5.0,Artificial Superintelligence,Quality
8,5.0,Artificial Superintelligence,Quality
9,5.0,Artificial Superintelligence,Quality
0,5.0,Artificial Superintelligence,Brand Reputation
1,5.0,Artificial Superintelligence,Brand Reputation
2,5.0,Artificial Superintelligence,Brand Reputation
3,5.0,Artificial Superintelligence,Brand Reputation
4,5.0,Artificial Superintelligence,Brand Reputation
5,5.0,Artificial Superintelligence,Brand Reputation
6,5.0,Artificial Superintelligence,Brand Reputation
7,5.0,Artificial Superintelligence,Brand Reputation
8,5.0,Artificial Superintelligence,Brand Reputation
