iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,37.128,2.5,0.135,39.764,explore,0.001960000000000001,1,0,0,0.001960000000000001,0.0,0.0
1,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00828,0.0156,0.0054,0.0062,0.0037791004220581385,5,1,0,1,51.82,1.216,0.181,53.218,exploit,0.00020000000000000052,1,1,0,0.001960000000000001,0.00020000000000000052,0.0
2,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0084,0.0164,0.005,0.0066,0.004085094858139772,5,1,1,1,75.856,2.694,0.213,78.765,both,-0.0001999999999999988,1,1,1,0.001960000000000001,0.00020000000000000052,-0.0001999999999999988
3,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00868,0.0144,0.0046,0.0084,0.003183959798741184,5,1,1,0,43.564,4.192,0.164,47.921,explore,0.00016000000000000042,2,1,1,0.0010600000000000006,0.00020000000000000052,-0.0001999999999999988
4,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0078,0.0106,0.006,0.0076,0.0017527121840165316,5,1,0,1,44.15,1.269,0.163,45.585,exploit,0.0005999999999999998,2,2,1,0.0010600000000000006,0.0004000000000000002,-0.0001999999999999988
5,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0074800000000000005,0.0116,0.0042,0.007,0.0024350770008359076,5,1,1,0,45.359,1.12,0.187,46.666,explore,0.0005199999999999996,3,2,1,0.0008800000000000002,0.0004000000000000002,-0.0001999999999999988
6,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00832,0.013,0.0058,0.008,0.002503118055545923,5,1,1,0,44.727,3.052,0.178,47.958,explore,-0.0004399999999999994,4,2,1,0.0005500000000000004,0.0004000000000000002,-0.0001999999999999988
7,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008040000000000002,0.0132,0.0054,0.0078,0.002815386296762844,5,1,1,0,44.326,1.695,0.195,46.217,explore,0.0007999999999999986,5,2,1,0.0006000000000000001,0.0004000000000000002,-0.0001999999999999988
8,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007719999999999999,0.0146,0.0048,0.0062,0.0035249964538989257,5,1,1,0,43.857,2.669,0.147,46.675,explore,0.0,6,2,1,0.0005,0.0004000000000000002,-0.0001999999999999988
9,Spray Bottles,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00808,0.0132,0.0052,0.0068,0.0028102668912400475,5,1,1,0,43.084,2.925,0.158,46.167,explore,-0.0014000000000000002,7,2,1,0.00022857142857142857,0.0004000000000000002,-0.0001999999999999988
