iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,19.302,2.515,0.062,21.879,explore,0.001999999999999999,1,0,0,0.001999999999999999,0.0,0.0
1,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008400000000000001,0.0146,0.0058,0.0068,0.003217452408350433,5,1,0,1,20.589,1.091,0.056,21.736,exploit,0.00015999999999999868,1,1,0,0.001999999999999999,0.00015999999999999868,0.0
2,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00844,0.016,0.005,0.0068,0.0038851512197081856,5,1,1,1,18.641,2.535,0.053,21.229,both,-0.00016000000000000042,1,1,1,0.001999999999999999,0.00015999999999999868,-0.00016000000000000042
3,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0158,0.0046,0.007,0.003950898631957039,5,1,1,1,19.056,2.958,0.07,22.084,both,-0.00032000000000000084,1,1,2,0.001999999999999999,0.00015999999999999868,-0.00024000000000000063
4,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007960000000000002,0.0128,0.003,0.0086,0.003223414338864925,5,1,0,1,19.076,0.922,0.052,20.051,exploit,3.999999999999837e-05,1,2,2,0.001999999999999999,9.999999999999853e-05,-0.00024000000000000063
5,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00756,0.014,0.0034,0.0064,0.0037081531791445725,5,1,0,1,18.349,0.898,0.081,19.328,exploit,-3.999999999999924e-05,1,3,2,0.001999999999999999,5.333333333333261e-05,-0.00024000000000000063
6,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00868,0.014,0.0044,0.0096,0.0034631777315061382,5,1,0,1,19.218,1.101,0.07,20.389,exploit,-0.0015999999999999999,1,4,2,0.001999999999999999,-0.0003600000000000005,-0.00024000000000000063
7,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008119999999999999,0.0148,0.0048,0.0066,0.0037236541192758495,5,1,1,0,20.356,1.876,0.056,22.289,explore,0.00024000000000000236,2,4,2,0.0011200000000000008,-0.0003600000000000005,-0.00024000000000000063
8,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00784,0.016,0.0046,0.0064,0.004151915220714412,5,1,1,1,19.547,2.34,0.05,21.937,both,0.00016000000000000042,2,4,3,0.0011200000000000008,-0.0003600000000000005,-0.00010666666666666694
9,Spray Bottles,ecommerce,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007680000000000001,0.013,0.004,0.0068,0.002984225192575118,5,1,0,1,18.989,1.462,0.054,20.505,exploit,7.999999999999934e-05,2,5,3,0.0011200000000000008,-0.00027200000000000054,-0.00010666666666666694
