iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,29.139,3.01,0.114,32.264,explore,0.0018800000000000006,1,0,0,0.0018800000000000006,0.0,0.0
1,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00808,0.0152,0.0054,0.0062,0.0037042678088928718,5,1,0,1,30.633,1.58,0.114,32.327,exploit,0.00016000000000000042,1,1,0,0.0018800000000000006,0.00016000000000000042,0.0
2,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00812,0.0162,0.0046,0.0068,0.004196379391809086,5,1,1,1,30.723,1.933,0.101,32.757,both,0.00028000000000000073,1,1,1,0.0018800000000000006,0.00016000000000000042,0.00028000000000000073
3,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00852,0.0144,0.0062,0.0078,0.0030162228034414165,5,1,1,0,30.939,1.828,0.104,32.872,explore,0.00024000000000000063,2,1,1,0.0010600000000000006,0.00016000000000000042,0.00028000000000000073
4,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00852,0.014,0.0054,0.0074,0.0029246538256689457,5,1,1,1,31.536,2.915,0.129,34.58,both,-0.00011999999999999858,2,1,2,0.0010600000000000006,0.00016000000000000042,8.000000000000108e-05
5,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008,0.0144,0.0038,0.0076,0.0035213633723318017,5,1,0,1,31.325,1.033,0.115,32.474,exploit,0.0,2,2,2,0.0010600000000000006,8.000000000000021e-05,8.000000000000108e-05
6,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00876,0.0128,0.0036,0.0094,0.003376151655361471,5,1,1,0,31.15,2.207,0.099,33.457,explore,-0.001040000000000001,3,2,2,0.0003600000000000001,8.000000000000021e-05,8.000000000000108e-05
7,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00852,0.0122,0.0052,0.0092,0.002531718783751466,5,1,0,1,31.865,0.831,0.103,32.799,exploit,-0.00012000000000000031,3,3,2,0.0003600000000000001,1.3333333333333364e-05,8.000000000000108e-05
8,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0078,0.0154,0.0038,0.0062,0.0041549969915753255,5,1,1,1,30.157,8.46,0.102,38.719,both,0.00044000000000000115,3,3,3,0.0003600000000000001,1.3333333333333364e-05,0.00020000000000000112
9,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0074800000000000005,0.012,0.0036,0.0084,0.0031025151087464503,5,1,1,0,30.219,2.375,0.14,32.735,explore,0.0007600000000000003,4,3,3,0.0004600000000000001,1.3333333333333364e-05,0.00020000000000000112
10,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007520000000000001,0.0112,0.0048,0.007,0.0022719154913860688,5,1,1,1,30.803,2.388,0.128,33.32,both,0.001680000000000001,4,3,4,0.0004600000000000001,1.3333333333333364e-05,0.0005700000000000011
11,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00932,0.012,0.0054,0.0102,0.0023616943070600815,5,1,0,1,35.313,1.214,0.15,36.677,exploit,-0.0011199999999999995,4,4,4,0.0004600000000000001,-0.00026999999999999984,0.0005700000000000011
12,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009080000000000001,0.014,0.0044,0.009,0.0031307507086959195,5,1,1,1,34.132,2.164,0.11,36.407,both,-0.00012000000000000205,4,4,5,0.0004600000000000001,-0.00026999999999999984,0.0004320000000000004
13,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009160000000000001,0.015,0.0044,0.009,0.003481149235525532,5,1,1,0,32.285,2.067,0.113,34.466,explore,4.0000000000000105e-05,5,4,5,0.00037600000000000014,-0.00026999999999999984,0.0004320000000000004
14,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008759999999999999,0.0142,0.0052,0.0072,0.0032009998437988094,5,1,0,1,33.583,1.053,0.119,34.756,exploit,0.00036000000000000094,5,5,5,0.00037600000000000014,-0.00014399999999999968,0.0004320000000000004
0,Cookware Sets,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0062,0.009,0.004,0.0056,0.001905780679931455,5,1,1,0,34.913,1.042,0.11,36.066,explore,0.0018000000000000004,1,0,0,0.0018000000000000004,0.0,0.0
1,Cookware Sets,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007640000000000001,0.0118,0.005,0.007,0.002364402672981064,5,1,0,1,35.656,0.831,0.105,36.591,exploit,-0.0004000000000000019,1,1,0,0.0018000000000000004,-0.0004000000000000019,0.0
2,Cookware Sets,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00784,0.0106,0.0056,0.0078,0.0017176728442867112,5,1,1,1,35.724,3.189,0.133,39.046,both,0.0009200000000000007,1,1,1,0.0018000000000000004,-0.0004000000000000019,0.0009200000000000007
3,Cookware Sets,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008960000000000001,0.0128,0.0068,0.0076,0.002199636333578804,5,1,1,0,35.125,2.308,0.108,37.542,explore,-0.00044000000000000115,2,1,1,0.0006799999999999996,-0.0004000000000000019,0.0009200000000000007
