iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,37.46,3.067,0.14,40.668,explore,0.001919999999999999,1,0,0,0.001919999999999999,0.0,0.0
1,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008159999999999999,0.0152,0.0054,0.006,0.0036734724716540345,5,1,0,1,38.419,1.125,0.156,39.701,exploit,0.00016000000000000042,1,1,0,0.001919999999999999,0.00016000000000000042,0.0
2,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00832,0.0164,0.0048,0.007,0.004119417434540957,5,1,1,1,38.284,3.381,0.14,41.805,both,-0.00012000000000000031,1,1,1,0.001919999999999999,0.00016000000000000042,-0.00012000000000000031
3,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.015,0.0044,0.0074,0.0035674080226405273,5,1,1,0,38.353,2.638,0.145,41.135,explore,0.00016000000000000042,2,1,1,0.0010399999999999997,0.00016000000000000042,-0.00012000000000000031
4,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00828,0.0134,0.0054,0.0086,0.0029328484447717373,5,1,1,0,39.165,1.233,0.122,40.52,explore,4.0000000000000105e-05,3,1,1,0.0007066666666666664,0.00016000000000000042,-0.00012000000000000031
5,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00796,0.015,0.0046,0.0058,0.003757445941061561,5,1,0,1,38.588,0.883,0.137,39.609,exploit,-0.0006399999999999999,3,2,1,0.0007066666666666664,-0.00023999999999999976,-0.00012000000000000031
6,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00816,0.0132,0.004,0.007,0.0031174348429437943,5,1,1,1,39.013,4.013,0.138,43.164,both,-0.0011599999999999996,3,2,2,0.0007066666666666664,-0.00023999999999999976,-0.0006399999999999999
7,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00772,0.014,0.0044,0.0056,0.003536325776848055,5,1,1,0,38.305,1.006,0.116,39.427,explore,0.0006799999999999992,4,2,2,0.0006999999999999997,-0.00023999999999999976,-0.0006399999999999999
8,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007520000000000001,0.0144,0.005,0.0062,0.003486201371120148,5,1,1,0,38.651,2.606,0.135,41.392,explore,0.0009199999999999989,5,2,2,0.0007439999999999995,-0.00023999999999999976,-0.0006399999999999999
9,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007319999999999998,0.0126,0.0042,0.0062,0.0028526478927480693,5,1,1,0,38.612,3.021,0.126,41.759,explore,0.0006000000000000016,6,2,2,0.0007199999999999999,-0.00023999999999999976,-0.0006399999999999999
10,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0074800000000000005,0.0104,0.0054,0.0068,0.0016761861471805567,5,1,1,0,38.549,1.091,0.135,39.775,explore,0.000959999999999999,7,2,2,0.0007542857142857141,-0.00023999999999999976,-0.0006399999999999999
11,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0086,0.0112,0.005,0.0094,0.002135415650406262,5,1,0,1,39.81,1.32,0.138,41.269,exploit,-0.0005999999999999998,7,3,2,0.0007542857142857141,-0.0003599999999999998,-0.0006399999999999999
12,Spray Bottles,ecommerce,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0084,0.0132,0.0048,0.008,0.002701110882581461,5,1,1,0,40.167,2.657,0.143,42.967,explore,0.0006399999999999999,8,3,2,0.0007399999999999998,-0.0003599999999999998,-0.0006399999999999999
