iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,0,1,12.591,1.942,0.039,14.573
1,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00796,0.0142,0.0052,0.0064,0.003250599944625607,5,1,0,1,12.946,0.865,0.035,13.846
2,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0086,0.016,0.0046,0.0086,0.004057585488933043,5,1,0,1,13.036,1.281,0.04,14.356
3,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009080000000000001,0.0164,0.0054,0.0078,0.0038086217979736454,5,1,0,1,14.108,1.248,0.039,15.396
4,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007639999999999999,0.0126,0.004,0.007,0.002832384154736077,5,1,0,1,13.627,2.354,0.045,16.025
5,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007239999999999999,0.0102,0.005,0.006,0.002060679499582601,5,1,0,1,12.974,1.025,0.041,14.041
6,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00716,0.0114,0.0028,0.0076,0.0028688673723265773,5,1,0,1,12.802,2.247,0.039,15.089
7,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00804,0.0136,0.0058,0.007,0.00287165457532761,5,1,0,1,12.558,1.779,0.049,14.387
8,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008,0.0154,0.0036,0.0074,0.003983967871356395,5,1,0,1,12.843,1.182,0.062,14.088
9,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007520000000000001,0.013,0.0046,0.0068,0.0028666356587470267,5,1,0,1,13.444,1.216,0.04,14.701
10,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0132,0.0044,0.0062,0.0030583655765784447,5,1,0,1,13.284,0.867,0.038,14.189
11,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0074800000000000005,0.0132,0.0046,0.0058,0.0031713719428663675,5,1,0,1,13.059,0.962,0.049,14.071
12,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008320000000000001,0.0128,0.0056,0.0084,0.0024967178454923583,5,1,0,1,12.829,1.072,0.036,13.936
13,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00776,0.0148,0.004,0.0068,0.0036886854026875215,5,1,0,1,13.018,0.898,0.04,13.956
14,Spray Bottles,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0128,0.0042,0.0068,0.003060980235153439,5,1,0,1,13.178,1.272,0.051,14.501
0,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005719999999999999,0.0076,0.0042,0.005,0.0014005713120009277,5,1,0,1,14.379,1.045,0.044,15.468
1,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0066,0.012,0.004,0.0058,0.0028028556866167764,5,1,0,1,14.825,1.195,0.039,16.06
2,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007520000000000001,0.012,0.0036,0.0068,0.002824464551025557,5,1,0,1,15.349,1.346,0.04,16.735
3,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007479999999999999,0.0104,0.0048,0.008,0.0019332873557751315,5,1,0,1,14.984,0.986,0.05,16.021
4,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00716,0.0104,0.0044,0.0068,0.0023268863315598375,5,1,0,1,14.871,1.06,0.045,15.975
5,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00592,0.0092,0.0042,0.0048,0.001826909959467078,5,1,0,1,14.402,1.211,0.05,15.664
6,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0102,0.0044,0.007,0.0018956792977716458,5,1,0,1,15.535,1.175,0.036,16.746
7,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0104,0.006,0.007,0.00159298462013919,5,1,0,1,14.743,1.193,0.048,15.983
8,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00716,0.0106,0.0056,0.0062,0.0018216476058777122,5,1,0,1,14.278,0.953,0.039,15.271
9,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00652,0.0092,0.0042,0.0066,0.0016521501142450709,5,1,0,1,15.125,1.058,0.041,16.224
10,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.009,0.0048,0.0072,0.0016424372134118247,5,1,0,1,14.391,0.795,0.039,15.224
11,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0082,0.0102,0.0054,0.0092,0.002082306413571259,5,1,0,1,16.096,0.896,0.059,17.051
12,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0086,0.0126,0.0066,0.0082,0.0021651789764358972,5,1,0,1,15.716,0.864,0.037,16.618
13,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00816,0.0098,0.0058,0.0092,0.0016316862443496911,5,1,0,1,16.226,1.124,0.037,17.388
14,Cookware Sets,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007880000000000002,0.0102,0.0062,0.0068,0.0017463103962354462,5,1,0,1,14.983,0.844,0.036,15.864
0,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00312,0.0048,0.0018,0.0032,0.0011906300852909772,5,1,0,1,12.755,1.116,0.039,13.911
1,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00312,0.0042,0.0022,0.0028,0.000699714227381436,5,1,0,1,13.38,1.125,0.041,14.546
2,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00456,0.0062,0.0032,0.0044,0.0010071742649611335,5,1,0,1,13.604,0.923,0.043,14.57
3,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00488,0.0064,0.0038,0.0048,0.0008997777503361596,5,1,0,1,13.533,1.108,0.043,14.684
4,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0042,0.0072,0.0024,0.0042,0.0017297398648351723,5,1,0,1,13.874,0.94,0.042,14.855
5,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00472,0.0064,0.0036,0.0044,0.0009927738916792686,5,1,0,1,13.514,0.977,0.045,14.536
6,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00596,0.0078,0.0046,0.0058,0.0011482160075525858,5,1,0,1,13.925,1.303,0.041,15.269
7,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0054399999999999995,0.0064,0.0046,0.005,0.0007939773296511685,5,1,0,1,13.507,1.119,0.048,14.674
8,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005,0.0062,0.0038,0.005,0.0008485281374238569,5,1,0,1,13.633,1.218,0.041,14.891
9,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00476,0.0054,0.0044,0.0044,0.0004454211490264016,5,1,0,1,13.42,1.002,0.038,14.459
10,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00436,0.005,0.004,0.0042,0.0003878143885933063,5,1,0,1,13.778,1.239,0.038,15.055
11,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005,0.0068,0.004,0.0046,0.0009549869109050656,5,1,0,1,13.451,1.065,0.043,14.559
12,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005599999999999999,0.0074,0.0042,0.0052,0.0010658330075579384,5,1,0,1,13.2,2.087,0.041,15.328
13,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00468,0.0056,0.0032,0.0048,0.0008541662601625049,5,1,0,1,13.852,1.586,0.041,15.479
14,TV Antennas,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00488,0.0062,0.004,0.0048,0.0007440430095095309,5,1,0,1,13.766,0.944,0.037,14.746
0,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0026000000000000003,0.004,0.001,0.003,0.0010658330075579384,5,1,0,1,13.691,0.883,0.033,14.607
1,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00292,0.0034,0.0026,0.0028,0.00027129319932501074,5,1,0,1,13.202,0.916,0.036,14.154
2,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00412,0.0054,0.003,0.004,0.0009516301802696256,5,1,0,1,13.077,0.825,0.048,13.95
3,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0057599999999999995,0.0074,0.004,0.0058,0.0011056219968868203,5,1,0,1,14.234,1.258,0.057,15.549
4,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00432,0.0074,0.0028,0.0038,0.0016666133324799728,5,1,0,1,14.559,1.158,0.046,15.763
5,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00392,0.0054,0.003,0.0038,0.0008541662601625049,5,1,0,1,15.749,1.015,0.062,16.826
6,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.004360000000000001,0.0058,0.0032,0.0044,0.000842852300228219,5,1,0,1,15.004,0.991,0.043,16.039
7,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00492,0.0054,0.0046,0.0048,0.0003249615361854385,5,1,0,1,15.66,1.309,0.046,17.016
8,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00464,0.0072,0.0032,0.004,0.0013763720427268202,5,1,0,1,13.881,0.839,0.038,14.759
9,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00488,0.0062,0.003,0.0048,0.0012237646832622684,5,1,0,1,14.094,0.821,0.039,14.954
10,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00464,0.0058,0.0034,0.0046,0.0010307278981380099,5,1,0,1,13.75,0.843,0.043,14.637
11,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.004719999999999999,0.0062,0.0036,0.0042,0.0009431860898041276,5,1,0,1,13.986,1.121,0.044,15.151
12,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.004999999999999999,0.0072,0.003,0.0048,0.0013856406460551018,5,1,0,1,14.968,0.942,0.037,15.948
13,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0048400000000000006,0.0066,0.0038,0.0044,0.0009583318840568751,5,1,0,1,14.026,0.945,0.036,15.007
14,DVI,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0037600000000000003,0.005,0.0024,0.0034,0.001061319932913728,5,1,0,1,13.853,1.053,0.036,14.941
0,Measuring Tools & Scales,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005520000000000001,0.0082,0.003,0.0054,0.001676186147180557,5,1,0,1,14.082,0.816,0.038,14.936
1,Measuring Tools & Scales,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00596,0.008,0.0042,0.0062,0.001471869559437928,5,1,0,1,14.561,0.989,0.041,15.591
2,Measuring Tools & Scales,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006840000000000001,0.0098,0.005,0.0058,0.0019158288023724873,5,1,0,1,16.259,1.082,0.045,17.386
3,Measuring Tools & Scales,ecommerce,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0073999999999999995,0.0096,0.0062,0.0072,0.0012585706178041816,5,1,0,1,15.562,1.422,0.037,17.021
