iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,0,1,0,11.942,2.207,0.043,14.192
1,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006266666666666667,0.0112,0.0034,0.0059,0.0024702676418198537,6,0,1,0,13.783,0.891,0.057,14.731
2,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005942857142857144,0.0104,0.0038,0.0056,0.002019092542177686,7,0,1,0,16.683,1.163,0.036,17.882
3,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005600000000000001,0.0102,0.0038,0.0046,0.0020227280023346127,7,0,1,0,15.882,2.137,0.035,18.055
4,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.003975,0.0074,0.0022,0.0039,0.001531135199778256,8,0,1,0,18.514,1.127,0.044,19.685
5,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0037333333333333337,0.0052,0.0014,0.0036,0.0010413666234542205,9,0,1,0,20.774,0.971,0.046,21.791
6,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00334,0.0056,0.0024,0.0031000000000000003,0.000925418824100742,10,0,1,0,23.431,1.91,0.041,25.381
7,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0034545454545454545,0.0066,0.0016,0.0034,0.001318651953779545,11,0,1,0,26.452,1.354,0.039,27.844
8,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0039454545454545445,0.0062,0.0022,0.0038,0.0013963352269837292,11,0,1,0,25.245,0.985,0.038,26.268
9,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0033666666666666667,0.0084,0.0016,0.0032,0.0016829207415152447,12,0,1,0,27.405,0.928,0.04,28.373
10,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00345,0.0072,0.0016,0.0033,0.0013883443376914819,12,0,1,0,27.238,2.211,0.037,29.486
11,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0030833333333333333,0.0044,0.0022,0.0028,0.0008060534859562498,12,0,1,0,27.11,1.244,0.041,28.394
12,Spray Bottles,ecommerce,no_drop,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0030307692307692305,0.0058,0.0006,0.0028,0.001416053353723551,13,0,1,0,29.087,1.898,0.049,31.034
