iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,12.573,2.227,0.051,14.85
1,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008159999999999999,0.0144,0.006,0.0062,0.003203498088028148,5,1,1,0,12.156,0.84,0.036,13.033
2,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0088,0.0162,0.0044,0.0078,0.0039293765408776994,5,1,1,0,12.966,1.903,0.043,14.911
3,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009640000000000001,0.0158,0.0066,0.0088,0.0032530600978155945,5,1,1,0,12.658,0.874,0.037,13.568
4,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00832,0.0132,0.004,0.0084,0.0029654004788561023,5,1,1,0,13.005,1.043,0.039,14.087
5,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007640000000000001,0.0104,0.006,0.0064,0.001745393938341714,5,1,1,0,12.96,2.256,0.044,15.26
6,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007600000000000001,0.0122,0.0048,0.007,0.002465765601187591,5,1,1,0,13.426,1.144,0.038,14.607
7,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.0136,0.0062,0.0068,0.002746343023003499,5,1,1,0,12.953,1.62,0.035,14.609
8,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008400000000000001,0.015,0.0058,0.0066,0.0034455768747772846,5,1,1,0,13.005,0.99,0.038,14.033
9,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007880000000000002,0.0124,0.0052,0.0078,0.0026187019685332655,5,1,1,0,12.764,1.009,0.036,13.808
10,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0076,0.0128,0.0056,0.0064,0.002674322344071485,5,1,1,0,14.084,0.905,0.05,15.039
11,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00804,0.013,0.0056,0.0074,0.00262114478806494,5,1,1,0,13.291,2.293,0.041,15.624
12,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00988,0.0126,0.008,0.0102,0.0016809521111560554,5,1,1,0,13.218,1.138,0.039,14.395
13,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00868,0.015,0.0046,0.0076,0.0034469696836496836,5,1,1,0,13.1,1.308,0.039,14.446
14,Spray Bottles,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00808,0.0128,0.0048,0.0068,0.002778776709273345,5,1,1,0,13.837,1.14,0.036,15.014
0,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.005719999999999999,0.0076,0.0042,0.005,0.0014005713120009277,5,1,1,0,13.621,1.315,0.044,14.979
1,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00692,0.0118,0.0038,0.0054,0.00291094486378564,5,1,1,0,13.985,2.441,0.042,16.468
2,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00776,0.013,0.0044,0.0056,0.0033452055243288112,5,1,1,0,13.621,2.233,0.039,15.893
3,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007679999999999999,0.0096,0.0062,0.0076,0.001135605565326271,5,1,1,0,13.435,2.311,0.048,15.794
4,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00772,0.0098,0.0058,0.0072,0.0016029971927611103,5,1,1,0,13.719,2.998,0.041,16.758
5,Cookware Sets,ecommerce,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0066,0.0092,0.0038,0.0068,0.0019879637823662683,5,1,1,0,13.286,1.385,0.034,14.705
