iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00688,0.0112,0.0028,0.0072,0.0028102668912400475,5,1,1,0,11.038,2.085,0.034,13.157
1,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.0162,0.003,0.0064,0.004465691435824916,5,1,1,0,11.475,1.022,0.038,12.535
2,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.0162,0.0038,0.0072,0.004488919691863511,5,1,1,0,11.89,1.199,0.044,13.134
3,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00776,0.0092,0.006,0.008,0.0010307278981380099,5,1,1,0,12.473,1.235,0.045,13.753
4,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006560000000000001,0.012,0.0044,0.0052,0.0027810789273229916,5,1,1,0,12.634,1.379,0.04,14.053
5,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00608,0.0086,0.0048,0.0052,0.001400571312000928,5,1,1,0,12.325,0.995,0.04,13.36
6,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00676,0.0092,0.005,0.0064,0.0016218507946170633,5,1,1,0,13.48,2.88,0.038,16.398
7,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00692,0.0074,0.0064,0.007,0.00044899888641287294,5,1,1,0,12.863,0.876,0.049,13.788
8,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0062,0.008,0.0044,0.0062,0.0013023056476879765,5,1,1,0,12.775,2.438,0.041,15.254
9,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006559999999999999,0.008,0.0054,0.006,0.0010384603988597737,5,1,1,0,12.211,1.334,0.038,13.584
10,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006640000000000002,0.0082,0.0054,0.0062,0.0012289833196589776,5,1,1,0,12.755,0.901,0.036,13.692
11,Spray Bottles,ecommerce,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00776,0.0118,0.0054,0.0074,0.002249977777668037,5,1,1,0,12.718,1.973,0.038,14.73
