iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,1,0,30.679,1.892,0.092,32.663,explore,0.0015200000000000005,1,0,0,0.0015200000000000005,0.0,0.0
1,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0098,0.0152,0.0048,0.01,0.0036573214242119874,5,1,0,1,31.881,1.251,0.112,33.244,exploit,0.0006399999999999999,1,1,0,0.0015200000000000005,0.0006399999999999999,0.0
2,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01052,0.015,0.0076,0.009,0.002946455497712463,5,1,1,1,30.283,2.656,0.098,33.038,both,-0.00015999999999999695,1,1,1,0.0015200000000000005,0.0006399999999999999,-0.00015999999999999695
3,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0108,0.0186,0.0046,0.0076,0.005601428389259297,5,1,1,0,30.205,2.525,0.098,32.829,explore,-0.00032000000000000084,2,1,1,0.0005999999999999998,0.0006399999999999999,-0.00015999999999999695
4,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01032,0.0162,0.0066,0.0094,0.003536325776848055,5,1,0,1,30.84,0.856,0.109,31.806,exploit,-0.0003999999999999993,2,2,1,0.0005999999999999998,0.00012000000000000031,-0.00015999999999999695
5,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01008,0.0146,0.005,0.0108,0.0033096223349500164,5,1,1,0,31.337,2.409,0.107,33.853,explore,-0.0001999999999999988,3,2,1,0.00033333333333333365,0.00012000000000000031,-0.00015999999999999695
6,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009080000000000001,0.0196,0.0046,0.0064,0.0054532192327101615,5,1,1,0,31.844,3.596,0.106,35.546,explore,0.0020799999999999985,4,2,1,0.0007699999999999999,0.00012000000000000031,-0.00015999999999999695
7,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00848,0.0156,0.0044,0.0064,0.004090183369972549,5,1,1,0,30.409,2.116,0.106,32.631,explore,0.00396,5,2,1,0.001408,0.00012000000000000031,-0.00015999999999999695
8,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00816,0.0126,0.0036,0.007,0.0035539274049985886,5,1,1,0,30.944,1.793,0.103,32.843,explore,0.0017999999999999995,6,2,1,0.0014733333333333332,0.00012000000000000031,-0.00015999999999999695
9,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01,0.0166,0.0058,0.0078,0.0040713634079998316,5,1,1,0,30.6,2.073,0.101,32.775,explore,-0.00068,7,2,1,0.0011657142857142856,0.00012000000000000031,-0.00015999999999999695
10,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00916,0.0136,0.0068,0.0072,0.00275506805723561,5,1,1,0,30.067,3.611,0.106,33.785,explore,0.0005999999999999998,8,2,1,0.0010949999999999998,0.00012000000000000031,-0.00015999999999999695
11,Stoicism,wikipedia,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00952,0.0162,0.005,0.0076,0.004165765235824025,5,1,0,1,31.016,1.03,0.101,32.148,exploit,-0.0012000000000000014,8,3,1,0.0010949999999999998,-0.00032000000000000024,-0.00015999999999999695
