iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,1,0,17.199,2.552,0.06,19.81,explore,0.0014799999999999987,1,0,0,0.0014799999999999987,0.0,0.0
1,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00968,0.0152,0.0046,0.01,0.00366736962958467,5,1,0,1,16.344,0.96,0.053,17.357,exploit,0.0006399999999999999,1,1,0,0.0014799999999999987,0.0006399999999999999,0.0
2,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010360000000000001,0.0148,0.0066,0.0088,0.0033067204296704615,5,1,1,1,16.856,2.417,0.053,19.326,both,-4.000000000000184e-05,1,1,1,0.0014799999999999987,0.0006399999999999999,-4.000000000000184e-05
3,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01012,0.0186,0.0046,0.0066,0.005743309150655221,5,1,1,1,16.094,2.739,0.052,18.887,both,0.0004399999999999994,1,1,2,0.0014799999999999987,0.0006399999999999999,0.0001999999999999988
4,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01052,0.0188,0.0042,0.0104,0.004934126062434968,5,1,0,1,15.794,1.429,0.05,17.273,exploit,-0.0010399999999999993,1,2,2,0.0014799999999999987,-0.00019999999999999966,0.0001999999999999988
5,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00916,0.0136,0.0042,0.0102,0.003163289427162807,5,1,0,1,16.199,1.664,0.058,17.921,exploit,0.00068,1,3,2,0.0014799999999999987,9.333333333333356e-05,0.0001999999999999988
6,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00988,0.019,0.0054,0.0088,0.004890153371827922,5,1,0,1,16.61,0.686,0.075,17.371,exploit,0.0007200000000000002,1,4,2,0.0014799999999999987,0.0002500000000000002,0.0001999999999999988
7,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0098,0.0164,0.0048,0.0078,0.0046458583706350766,5,1,1,0,17.521,1.889,0.075,19.485,explore,0.0019199999999999998,2,4,2,0.0016999999999999993,0.0002500000000000002,0.0001999999999999988
8,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00952,0.0148,0.0068,0.0068,0.00341666504065002,5,1,1,1,16.93,2.363,0.052,19.345,both,4.0000000000000105e-05,2,4,3,0.0016999999999999993,0.0002500000000000002,0.0001466666666666659
9,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00968,0.0162,0.006,0.0066,0.004148445491988535,5,1,0,1,16.825,1.154,0.052,18.031,exploit,0.0008800000000000006,2,5,3,0.0016999999999999993,0.0003760000000000003,0.0001466666666666659
10,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009920000000000002,0.0138,0.0056,0.0092,0.00321645767887594,5,1,1,1,16.921,2.691,0.056,19.667,both,-1.734723475976807e-18,2,5,4,0.0016999999999999993,0.0003760000000000003,0.00010999999999999899
11,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008960000000000001,0.0138,0.0042,0.0074,0.004000799920015996,5,1,1,1,18.643,2.394,0.067,21.105,both,-0.00040000000000000105,2,5,5,0.0016999999999999993,0.0003760000000000003,7.999999999998975e-06
12,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01036,0.0164,0.0064,0.0086,0.004030682324371396,5,1,0,1,18.49,0.911,0.087,19.488,exploit,-0.00196,2,6,5,0.0016999999999999993,-1.333333333333308e-05,7.999999999998975e-06
13,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01,0.0208,0.0044,0.0066,0.005893725477149407,5,1,0,1,17.761,1.232,0.07,19.063,exploit,-0.00015999999999999868,2,7,5,0.0016999999999999993,-3.4285714285713884e-05,7.999999999998975e-06
14,Stoicism,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010159999999999999,0.016,0.0052,0.0084,0.0038913236822448994,5,1,1,1,17.869,3.892,0.056,21.817,both,-0.0006799999999999983,2,7,6,0.0016999999999999993,-3.4285714285713884e-05,-0.00010666666666666725
0,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016399999999999998,0.019,0.0144,0.016,0.0017572706109191035,5,1,1,0,16.019,2.276,0.057,18.353,explore,0.0004400000000000029,1,0,0,0.0004400000000000029,0.0,0.0
1,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01552,0.0182,0.0138,0.0152,0.0014945233353815528,5,1,0,1,17.254,1.105,0.067,18.426,exploit,0.0,1,1,0,0.0004400000000000029,0.0,0.0
2,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0156,0.0182,0.014,0.0154,0.0014142135623730952,5,1,1,1,16.406,4.061,0.064,20.531,both,-0.0007200000000000002,1,1,1,0.0004400000000000029,0.0,-0.0007200000000000002
3,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01596,0.0182,0.0136,0.0158,0.001493452376207558,5,1,0,1,16.592,0.781,0.049,17.423,exploit,-0.0015199999999999988,1,2,1,0.0004400000000000029,-0.0007599999999999994,-0.0007200000000000002
4,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01484,0.0188,0.0106,0.0146,0.003335625878302301,5,1,0,1,17.153,0.826,0.07,18.048,exploit,0.0,1,3,1,0.0004400000000000029,-0.0005066666666666663,-0.0007200000000000002
5,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01544,0.0204,0.0122,0.0152,0.0030023990407672327,5,1,0,1,17.392,0.824,0.065,18.281,exploit,-0.0015199999999999988,1,4,1,0.0004400000000000029,-0.0007599999999999994,-0.0007200000000000002
6,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01568,0.018,0.012,0.0172,0.0024870866490735695,5,1,1,0,18.442,1.985,0.057,20.484,explore,-0.002319999999999999,2,4,1,-0.0009399999999999981,-0.0007599999999999994,-0.0007200000000000002
7,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.014000000000000002,0.017,0.01,0.0154,0.003001333037168651,5,1,1,1,18.176,2.685,0.065,20.927,both,0.0009199999999999972,2,4,2,-0.0009399999999999981,-0.0007599999999999994,9.999999999999853e-05
8,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01464,0.0172,0.0112,0.0156,0.002155550973649197,5,1,1,0,16.359,1.537,0.062,17.958,explore,0.0007200000000000019,3,4,2,-0.0003866666666666648,-0.0007599999999999994,9.999999999999853e-05
9,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01388,0.0156,0.0114,0.014,0.0013891004283348267,5,1,1,1,16.554,2.771,0.054,19.38,both,0.0004399999999999994,3,4,3,-0.0003866666666666648,-0.0007599999999999994,0.00021333333333333214
10,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01444,0.0172,0.0124,0.0144,0.0016119553343687909,5,1,1,0,15.947,1.641,0.049,17.638,explore,0.0009200000000000024,4,4,3,-5.999999999999799e-05,-0.0007599999999999994,0.00021333333333333214
11,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0184,0.0194,0.0172,0.019,0.0009879271228182772,5,1,1,0,16.434,1.563,0.056,18.054,explore,-0.0048400000000000006,5,4,3,-0.0010159999999999987,-0.0007599999999999994,0.00021333333333333214
12,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01484,0.02,0.0128,0.0138,0.002611972434770321,5,1,0,1,16.306,0.814,0.062,17.182,exploit,0.0012399999999999998,5,5,3,-0.0010159999999999987,-0.00035999999999999953,0.00021333333333333214
13,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0166,0.0178,0.015,0.0164,0.0010198039027185574,5,1,1,0,15.533,1.475,0.054,17.063,explore,-0.0007600000000000003,6,5,3,-0.0009733333333333322,-0.00035999999999999953,0.00021333333333333214
14,Friedrich Nietzsche,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01296,0.0148,0.01,0.0142,0.0019734234213670417,5,1,0,1,17.327,0.884,0.056,18.267,exploit,0.0028000000000000004,6,6,3,-0.0009733333333333322,0.00016666666666666718,0.00021333333333333214
0,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00616,0.0096,0.0034,0.0062,0.0020838426044209766,5,1,1,0,19.871,7.9,0.062,27.834,explore,0.001360000000000001,1,0,0,0.001360000000000001,0.0,0.0
1,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008,0.0124,0.0056,0.007,0.0024947945807220276,5,1,0,1,19.635,1.013,0.068,20.716,exploit,-4.0000000000000105e-05,1,1,0,0.001360000000000001,-4.0000000000000105e-05,0.0
2,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009,0.0156,0.0044,0.006,0.004507771067833858,5,1,1,1,19.61,7.819,0.057,27.487,both,-0.0004799999999999995,1,1,1,0.001360000000000001,-4.0000000000000105e-05,-0.0004799999999999995
3,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00808,0.0132,0.0046,0.006,0.003386089189610929,5,1,1,0,18.967,15.653,0.079,34.699,explore,0.0007600000000000003,2,1,1,0.0010600000000000006,-4.0000000000000105e-05,-0.0004799999999999995
4,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0072,0.0102,0.0052,0.0062,0.0017888543819998323,5,1,1,1,18.254,5.276,0.052,23.583,both,0.0009999999999999992,2,1,2,0.0010600000000000006,-4.0000000000000105e-05,0.0002599999999999998
5,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0067599999999999995,0.0112,0.0034,0.0068,0.0026272418997876842,5,1,1,0,18.215,9.989,0.048,28.252,explore,0.0010400000000000001,3,1,2,0.0010533333333333339,-4.0000000000000105e-05,0.0002599999999999998
6,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0076,0.0158,0.0044,0.0062,0.004176122603564221,5,1,0,1,17.414,1.004,0.059,18.477,exploit,0.0002800000000000016,3,2,2,0.0010533333333333339,0.00012000000000000075,0.0002599999999999998
7,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00816,0.0148,0.0052,0.006,0.003571890255872932,5,1,1,0,17.606,5.181,0.052,22.839,explore,-0.00016000000000000042,4,2,2,0.0007500000000000002,0.00012000000000000075,0.0002599999999999998
8,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0064399999999999995,0.0106,0.0038,0.0048,0.002740510901273702,5,1,1,1,16.75,4.512,0.05,21.312,both,0.0012000000000000014,4,2,3,0.0007500000000000002,0.00012000000000000075,0.0005733333333333337
9,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008199999999999999,0.015,0.004,0.0072,0.0038115613598629105,5,1,1,1,18.06,5.775,0.059,23.894,both,-0.00043999999999999855,4,2,4,0.0007500000000000002,0.00012000000000000075,0.0003200000000000006
10,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00796,0.0128,0.005,0.007,0.0029103951621729995,5,1,0,1,17.419,0.691,0.057,18.168,exploit,-0.0009600000000000008,4,3,4,0.0007500000000000002,-0.00023999999999999976,0.0003200000000000006
11,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0074800000000000005,0.0138,0.0034,0.0064,0.003583517824708006,5,1,1,1,17.43,3.189,0.051,20.671,both,-0.0006399999999999999,4,3,5,0.0007500000000000002,-0.00023999999999999976,0.0001280000000000005
12,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008560000000000002,0.0164,0.0044,0.0064,0.004384335753566326,5,1,0,1,19.39,0.923,0.06,20.373,exploit,-0.0012000000000000014,4,4,5,0.0007500000000000002,-0.0004800000000000002,0.0001280000000000005
13,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00776,0.0142,0.0048,0.0058,0.0034742481200973545,5,1,1,1,18.107,4.064,0.063,22.234,both,-0.0008400000000000005,4,4,6,0.0007500000000000002,-0.0004800000000000002,-3.3333333333332996e-05
14,Artificial Superintelligence,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00716,0.0104,0.0052,0.0066,0.0020015993605114885,5,1,0,1,17.701,1.964,0.063,19.728,exploit,0.0009600000000000008,4,5,6,0.0007500000000000002,-0.000192,-3.3333333333332996e-05
0,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01388,0.0216,0.0028,0.0172,0.006787753678500716,5,1,1,0,17.193,1.871,0.058,19.122,explore,0.003440000000000002,1,0,0,0.003440000000000002,0.0,0.0
1,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01756,0.0244,0.0068,0.0202,0.006521840231100421,5,1,0,1,17.378,0.862,0.06,18.301,exploit,-0.0010399999999999993,1,1,0,0.003440000000000002,-0.0010399999999999993,0.0
2,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01592,0.0228,0.0064,0.0184,0.005990125207372548,5,1,1,1,18.107,2.754,0.064,20.926,both,0.0017599999999999977,1,1,1,0.003440000000000002,-0.0010399999999999993,0.0017599999999999977
3,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.017359999999999997,0.0244,0.0076,0.0202,0.006671011917243141,5,1,0,1,18.97,0.729,0.055,19.754,exploit,-0.0007999999999999986,1,2,1,0.003440000000000002,-0.0009199999999999989,0.0017599999999999977
4,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.014999999999999996,0.0242,0.0046,0.0152,0.00683871332927474,5,1,1,1,18.276,2.503,0.058,20.837,both,0.0006400000000000017,1,2,2,0.003440000000000002,-0.0009199999999999989,0.0011999999999999997
5,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01588,0.0216,0.0046,0.0184,0.006370682851939814,5,1,0,1,17.793,0.757,0.068,18.618,exploit,-0.0007200000000000002,1,3,2,0.003440000000000002,-0.0008533333333333327,0.0011999999999999997
6,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.018359999999999998,0.0236,0.0072,0.0208,0.0060957690244955965,5,1,0,1,18.272,1.117,0.051,19.441,exploit,-0.0014799999999999987,1,4,2,0.003440000000000002,-0.0010099999999999992,0.0011999999999999997
7,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01604,0.0234,0.0058,0.018,0.00650095377617777,5,1,1,1,17.9,2.649,0.056,20.606,both,8.000000000000368e-05,1,4,3,0.003440000000000002,-0.0010099999999999992,0.0008266666666666676
8,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0158,0.0212,0.005,0.019,0.005814464721709127,5,1,0,1,17.621,0.757,0.063,18.44,exploit,0.0012800000000000034,1,5,3,0.003440000000000002,-0.0005519999999999987,0.0008266666666666676
9,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015479999999999999,0.0206,0.0066,0.0174,0.005222413235277347,5,1,0,1,18.213,0.917,0.057,19.187,exploit,0.0002800000000000042,1,6,3,0.003440000000000002,-0.0004133333333333315,0.0008266666666666676
10,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01584,0.0212,0.0056,0.0184,0.005809509445727754,5,1,1,1,18.183,3.412,0.052,21.648,both,0.00048000000000000126,1,6,4,0.003440000000000002,-0.0004133333333333315,0.0007400000000000011
11,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.017320000000000002,0.025,0.0084,0.0198,0.005931070729640645,5,1,1,1,17.071,3.32,0.059,20.45,both,-0.0022400000000000024,1,6,5,0.003440000000000002,-0.0004133333333333315,0.00014400000000000036
12,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01776,0.023,0.0072,0.021,0.005959060328608865,5,1,1,0,18.021,1.591,0.081,19.694,explore,-0.0006400000000000017,2,6,5,0.0014000000000000002,-0.0004133333333333315,0.00014400000000000036
13,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01752,0.0234,0.012,0.0188,0.004658926915073899,5,1,1,1,17.873,3.277,0.055,21.205,both,-0.0012400000000000015,2,6,6,0.0014000000000000002,-0.0004133333333333315,-8.666666666666664e-05
14,The Beatles' rooftop concert,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0166,0.0238,0.0072,0.0176,0.005614267539047281,5,1,1,1,17.242,2.42,0.069,19.732,both,0.0007200000000000019,2,6,7,0.0014000000000000002,-0.0004133333333333315,2.857142857142887e-05
0,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00924,0.0118,0.0056,0.0094,0.0021294130646729863,5,1,1,0,15.712,1.61,0.064,17.386,explore,0.0017999999999999995,1,0,0,0.0017999999999999995,0.0,0.0
1,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009839999999999998,0.0154,0.0068,0.0074,0.0034534620310639006,5,1,0,1,16.945,1.923,0.056,18.924,exploit,-0.00015999999999999868,1,1,0,0.0017999999999999995,-0.00015999999999999868,0.0
2,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01096,0.0138,0.007,0.0116,0.002749254444390333,5,1,1,1,16.317,2.771,0.054,19.143,both,-0.0003599999999999992,1,1,1,0.0017999999999999995,-0.00015999999999999868,-0.0003599999999999992
3,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01016,0.0174,0.0064,0.0092,0.004030682324371396,5,1,1,1,16.402,3.164,0.057,19.624,both,-0.0005999999999999998,1,1,2,0.0017999999999999995,-0.00015999999999999868,-0.0004799999999999995
4,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.011,0.0052,0.0084,0.0025088642848906753,5,1,1,0,17.537,1.468,0.054,19.059,explore,0.0008399999999999987,2,1,2,0.0013199999999999991,-0.00015999999999999868,-0.0004799999999999995
5,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.013,0.0046,0.0096,0.002888875213642846,5,1,0,1,16.92,0.748,0.054,17.722,exploit,0.00020000000000000052,2,2,2,0.0013199999999999991,2.000000000000092e-05,-0.0004799999999999995
6,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010159999999999999,0.0168,0.006,0.0074,0.004262206001591194,5,1,0,1,17.01,0.759,0.055,17.824,exploit,0.000760000000000002,2,3,2,0.0013199999999999991,0.0002666666666666679,-0.0004799999999999995
7,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00964,0.0148,0.0074,0.0082,0.0026993332510084783,5,1,0,1,16.371,1.049,0.061,17.481,exploit,0.00024000000000000063,2,4,2,0.0013199999999999991,0.0002600000000000011,-0.0004799999999999995
8,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009040000000000001,0.0126,0.0066,0.0078,0.002170345594600086,5,1,1,1,16.65,2.234,0.061,18.946,both,0.0006799999999999966,2,4,3,0.0013199999999999991,0.0002600000000000011,-9.333333333333416e-05
9,Carl Jung,wikipedia,bandit_thompson,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00904,0.0128,0.0062,0.0076,0.0025780612870915233,5,1,0,1,16.608,1.153,0.057,17.818,exploit,-0.000279999999999999,2,5,3,0.0013199999999999991,0.0001520000000000011,-9.333333333333416e-05
