iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006959999999999999,0.011,0.0036,0.0064,0.002651490147068248,5,1,1,0,44.166,4.85,0.142,49.159,explore,0.0016000000000000025,1,0,0,0.0016000000000000025,0.0,0.0
1,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007039999999999999,0.0102,0.0038,0.0062,0.002340598214132447,5,1,0,1,44.11,1.27,0.144,45.525,exploit,0.0010000000000000009,1,1,0,0.0016000000000000025,0.0010000000000000009,0.0
2,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008400000000000001,0.0132,0.0048,0.0076,0.0033823069050575526,5,1,1,1,30.51,3.029,0.096,33.636,both,-0.00024000000000000063,1,1,1,0.0016000000000000025,0.0010000000000000009,-0.00024000000000000063
3,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007679999999999999,0.0122,0.005,0.0068,0.00256,5,1,1,0,43.756,2.363,0.129,46.248,explore,0.0005999999999999998,2,1,1,0.0011000000000000012,0.0010000000000000009,-0.00024000000000000063
4,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0072,0.0128,0.0036,0.0062,0.0032124756808418024,5,1,0,1,46.936,1.581,0.162,48.68,exploit,0.0011600000000000013,2,2,1,0.0011000000000000012,0.001080000000000001,-0.00024000000000000063
5,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00792,0.012,0.0044,0.0086,0.002795997138768207,5,1,1,1,51.712,3.382,0.168,55.263,both,-0.0006399999999999999,2,2,2,0.0011000000000000012,0.001080000000000001,-0.0004400000000000003
6,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008199999999999999,0.013,0.0052,0.0068,0.0027188232748746287,5,1,1,0,51.602,2.209,0.167,53.979,explore,-0.000599999999999999,3,2,2,0.0005333333333333344,0.001080000000000001,-0.0004400000000000003
7,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006999999999999999,0.0124,0.0036,0.0054,0.003157213961707378,5,1,0,1,51.406,1.308,0.175,52.89,exploit,0.0022800000000000008,3,3,2,0.0005333333333333344,0.001480000000000001,-0.0004400000000000003
8,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006320000000000001,0.0098,0.0024,0.0052,0.0027845286854331383,5,1,1,1,53.329,4.278,0.151,57.759,both,0.0014399999999999977,3,3,3,0.0005333333333333344,0.001480000000000001,0.0001866666666666657
9,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007959999999999998,0.0116,0.0048,0.0084,0.0024928698321412613,5,1,0,1,51.558,1.028,0.173,52.76,exploit,0.0006800000000000018,3,4,3,0.0005333333333333344,0.0012800000000000012,0.0001866666666666657
10,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008079999999999999,0.011,0.0052,0.0074,0.0024903011866037406,5,1,1,0,52.763,5.429,0.167,58.36,explore,-0.0009199999999999972,4,4,3,0.00017000000000000153,0.0012800000000000012,0.0001866666666666657
11,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00848,0.0134,0.0044,0.008,0.0032164576788759397,5,1,1,1,51.833,5.435,0.138,57.406,both,-0.0010800000000000002,4,4,4,0.00017000000000000153,0.0012800000000000012,-0.00013000000000000077
12,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008360000000000001,0.0126,0.006,0.0078,0.002232129028528593,5,1,0,1,50.918,1.262,0.161,52.341,exploit,0.0003999999999999993,4,5,4,0.00017000000000000153,0.0011040000000000008,-0.00013000000000000077
13,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00876,0.0148,0.0058,0.0066,0.003439534852272906,5,1,1,0,51.239,2.262,0.157,53.659,explore,-0.002000000000000001,5,5,4,-0.000263999999999999,0.0011040000000000008,-0.00013000000000000077
