iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
0,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,1,0,14.595,4.544,0.043,19.183,explore,0.0015200000000000005,1,0,0,0.0015200000000000005,0.0,0.0
1,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00976,0.0152,0.0048,0.0098,0.0036031097679643347,5,1,0,1,14.55,1.162,0.044,15.756,exploit,0.0005999999999999998,1,1,0,0.0015200000000000005,0.0005999999999999998,0.0
2,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010440000000000001,0.015,0.0068,0.0088,0.0032456740440161267,5,1,1,1,15.131,2.855,0.052,18.038,both,0.0,1,1,1,0.0015200000000000005,0.0005999999999999998,0.0
3,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0098,0.0152,0.0048,0.008,0.004214261501141095,5,1,1,0,15.795,1.784,0.051,17.631,explore,0.0003599999999999992,2,1,1,0.0009399999999999999,0.0005999999999999998,0.0
4,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01032,0.018,0.0038,0.0102,0.00480766055374129,5,1,0,1,15.338,1.134,0.059,16.531,exploit,-0.0006399999999999982,2,2,1,0.0009399999999999999,-1.9999999999999185e-05,0.0
5,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01052,0.0128,0.0064,0.0114,0.0023886397802933786,5,1,1,0,15.905,2.069,0.057,18.031,explore,-0.0005199999999999996,3,2,1,0.00045333333333333337,-1.9999999999999185e-05,0.0
6,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01116,0.017,0.0074,0.0092,0.0035403954581374104,5,1,1,1,17.212,2.241,0.057,19.511,both,-0.0007600000000000003,3,2,2,0.00045333333333333337,-1.9999999999999185e-05,-0.00038000000000000013
7,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009,0.0166,0.0054,0.0058,0.0044560071813227594,5,1,1,0,18.165,1.723,0.059,19.947,explore,0.0034800000000000005,4,2,2,0.0012100000000000001,-1.9999999999999185e-05,-0.00038000000000000013
8,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008119999999999999,0.0152,0.0044,0.0058,0.0039468468427340826,5,1,1,0,17.932,1.489,0.056,19.478,explore,0.001080000000000001,5,2,2,0.0011840000000000004,-1.9999999999999185e-05,-0.00038000000000000013
9,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00844,0.0138,0.0046,0.0068,0.0034255510505610625,5,1,1,0,15.027,1.835,0.061,16.923,explore,0.001680000000000001,6,2,2,0.0012666666666666672,-1.9999999999999185e-05,-0.00038000000000000013
10,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0124,0.0036,0.008,0.003290227955628607,5,1,1,0,18.696,1.682,0.072,20.451,explore,0.0007200000000000002,7,2,2,0.001188571428571429,-1.9999999999999185e-05,-0.00038000000000000013
11,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01044,0.0184,0.0052,0.0082,0.004996638870280701,5,1,1,0,16.261,4.171,0.05,20.482,explore,-0.002,8,2,2,0.0007900000000000003,-1.9999999999999185e-05,-0.00038000000000000013
12,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009720000000000001,0.0136,0.0066,0.009,0.002749836358767554,5,1,0,1,15.871,0.925,0.051,16.847,exploit,0.0003999999999999993,8,3,2,0.0007900000000000003,0.00012000000000000031,-0.00038000000000000013
13,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01052,0.0198,0.0056,0.008,0.005096822539582872,5,1,0,1,16.092,0.869,0.048,17.009,exploit,-0.0008000000000000004,8,4,2,0.0007900000000000003,-0.00010999999999999985,-0.00038000000000000013
14,Stoicism,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01104,0.0156,0.0072,0.0088,0.003526811591225139,5,1,1,0,16.275,2.011,0.056,18.342,explore,-0.00136,9,4,2,0.0005511111111111114,-0.00010999999999999985,-0.00038000000000000013
0,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01732,0.0202,0.016,0.0168,0.0014945233353815517,5,1,1,0,15.643,3.07,0.058,18.772,explore,-0.0019599999999999965,1,0,0,-0.0019599999999999965,0.0,0.0
1,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0156,0.0182,0.0122,0.0168,0.0024298148077579905,5,1,0,1,15.724,0.96,0.054,16.738,exploit,-0.0007999999999999969,1,1,0,-0.0019599999999999965,-0.0007999999999999969,0.0
2,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016560000000000002,0.0188,0.0144,0.0164,0.0014164744967700622,5,1,1,1,16.763,2.568,0.05,19.381,both,0.0010799999999999976,1,1,1,-0.0019599999999999965,-0.0007999999999999969,0.0010799999999999976
3,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01636,0.0204,0.014,0.015,0.0024046621384302626,5,1,1,1,17.106,5.199,0.061,22.367,both,-0.002559999999999998,1,1,2,-0.0019599999999999965,-0.0007999999999999969,-0.0007400000000000002
4,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016,0.0184,0.01,0.0176,0.0030854497241083025,5,1,0,1,16.355,0.818,0.057,17.23,exploit,0.0008799999999999988,1,2,2,-0.0019599999999999965,4.000000000000097e-05,-0.0007400000000000002
5,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.014639999999999997,0.0164,0.011,0.0156,0.0019074590428106186,5,1,0,1,15.331,1.081,0.062,16.473,exploit,8.000000000000541e-05,1,3,2,-0.0019599999999999965,5.3333333333335786e-05,-0.0007400000000000002
6,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.014360000000000001,0.0164,0.0116,0.0154,0.0018347751905887547,5,1,0,1,17.168,0.749,0.056,17.973,exploit,0.0014399999999999968,1,4,2,-0.0019599999999999965,0.00040000000000000105,-0.0007400000000000002
7,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01628,0.0214,0.0116,0.0172,0.0039690804980498946,5,1,0,1,15.831,1.067,0.054,16.953,exploit,-0.000559999999999998,1,5,2,-0.0019599999999999965,0.00020800000000000123,-0.0007400000000000002
8,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01404,0.018,0.0112,0.0124,0.002599692289483507,5,1,0,1,16.087,1.076,0.066,17.229,exploit,-3.999999999999837e-05,1,6,2,-0.0019599999999999965,0.00016666666666666796,-0.0007400000000000002
9,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01824,0.0234,0.0134,0.0204,0.004091747792814215,5,1,0,1,15.631,0.849,0.057,16.536,exploit,-0.00468,1,7,2,-0.0019599999999999965,-0.0005257142857142847,-0.0007400000000000002
10,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015239999999999998,0.0186,0.0112,0.015,0.002411306699696245,5,1,1,1,15.724,3.044,0.052,18.82,both,0.001840000000000003,1,7,3,-0.0019599999999999965,-0.0005257142857142847,0.00012000000000000086
11,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015439999999999999,0.0168,0.0146,0.015,0.000833306666239986,5,1,1,1,15.685,2.422,0.062,18.169,both,-0.0015200000000000005,1,7,4,-0.0019599999999999965,-0.0005257142857142847,-0.00028999999999999946
12,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01684,0.0216,0.015,0.0156,0.002460569039876752,5,1,1,1,15.915,2.238,0.061,18.214,both,-0.0013200000000000035,1,7,5,-0.0019599999999999965,-0.0005257142857142847,-0.0004960000000000002
13,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015680000000000003,0.0184,0.0128,0.0164,0.0019166637681137504,5,1,1,0,15.537,2.615,0.05,18.202,explore,-0.001560000000000004,2,7,5,-0.0017600000000000003,-0.0005257142857142847,-0.0004960000000000002
14,Friedrich Nietzsche,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015359999999999999,0.0174,0.012,0.0156,0.0019241621553289109,5,1,1,1,15.328,3.554,0.051,18.934,both,8.000000000000194e-05,2,7,6,-0.0017600000000000003,-0.0005257142857142847,-0.00039999999999999986
0,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0064399999999999995,0.0104,0.0034,0.0058,0.002397999165971498,5,1,1,0,19.603,4.217,0.048,23.869,explore,0.0015200000000000005,1,0,0,0.0015200000000000005,0.0,0.0
1,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00792,0.0132,0.0042,0.0072,0.0034469696836496836,5,1,0,1,19.541,0.984,0.056,20.581,exploit,0.0003599999999999992,1,1,0,0.0015200000000000005,0.0003599999999999992,0.0
2,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00848,0.0164,0.004,0.0064,0.004605388148679762,5,1,1,1,18.796,3.513,0.052,22.36,both,0.0018399999999999996,1,1,1,0.0015200000000000005,0.0003599999999999992,0.0018399999999999996
3,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.008360000000000001,0.0132,0.0062,0.0066,0.002687452325158532,5,1,1,1,18.778,3.273,0.052,22.103,both,-0.0015200000000000005,1,1,2,0.0015200000000000005,0.0003599999999999992,0.00015999999999999955
4,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007640000000000001,0.0132,0.0032,0.0066,0.003611980066390179,5,1,1,0,19.068,2.101,0.057,21.226,explore,0.0014399999999999986,2,1,2,0.0014799999999999995,0.0003599999999999992,0.00015999999999999955
5,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007679999999999999,0.0114,0.005,0.0078,0.00216,5,1,1,0,19.136,2.594,0.066,21.797,explore,4.000000000000097e-05,3,1,2,0.001,0.0003599999999999992,0.00015999999999999955
6,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007120000000000001,0.013,0.004,0.007,0.0032164576788759397,5,1,0,1,22.531,0.943,0.056,23.53,exploit,0.0017199999999999993,3,2,2,0.001,0.0010399999999999993,0.00015999999999999955
7,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00792,0.0112,0.005,0.0064,0.0024935115800813917,5,1,0,1,21.725,0.926,0.074,22.725,exploit,0.0010399999999999993,3,3,2,0.001,0.0010399999999999993,0.00015999999999999955
8,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00736,0.0112,0.0032,0.0062,0.003002399040767233,5,1,0,1,23.022,0.776,0.059,23.857,exploit,0.0012399999999999998,3,4,2,0.001,0.0010899999999999994,0.00015999999999999955
9,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007639999999999999,0.0118,0.005,0.0068,0.0024377038376308144,5,1,1,0,20.781,2.955,0.064,23.8,explore,-0.0010799999999999985,4,4,2,0.0004800000000000004,0.0010899999999999994,0.00015999999999999955
10,Artificial Superintelligence,wikipedia,bandit_ucb,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.012,0.0064,0.008,0.0020135540717845153,5,1,0,1,20.523,1.077,0.057,21.657,exploit,-0.00020000000000000052,4,5,2,0.0004800000000000004,0.0008319999999999994,0.00015999999999999955
