iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,0,1,12.535,2.346,0.036,14.918
1,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01004,0.016,0.0036,0.0092,0.004316294707269188,5,1,0,1,11.698,0.851,0.042,12.591
2,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01056,0.017,0.004,0.0082,0.005003039076401463,5,1,0,1,11.728,0.973,0.036,12.736
3,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01036,0.0192,0.0056,0.0086,0.005148048173822774,5,1,0,1,13.03,1.051,0.041,14.122
4,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00912,0.012,0.0064,0.0088,0.0022577865266672137,5,1,0,1,12.551,1.034,0.04,13.625
5,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009319999999999998,0.0126,0.006,0.0092,0.002658119636133784,5,1,0,1,13.413,1.055,0.039,14.508
6,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01024,0.0158,0.008,0.008,0.003076101428756861,5,1,0,1,12.149,0.997,0.041,13.187
7,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009479999999999999,0.0166,0.0052,0.0058,0.004968057970676268,5,1,0,1,13.044,1.001,0.06,14.104
8,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00936,0.016,0.006,0.0074,0.003669114334549961,5,1,0,1,14.336,0.889,0.037,15.262
9,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00888,0.0166,0.0044,0.0068,0.004505285784498026,5,1,0,1,13.572,0.881,0.048,14.501
10,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010280000000000001,0.0156,0.0072,0.0086,0.0033599999999999997,5,1,0,1,14.028,0.915,0.04,14.983
11,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00916,0.014,0.006,0.0064,0.003714619765198048,5,1,0,1,13.76,1.155,0.064,14.98
12,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010320000000000001,0.0178,0.0056,0.008,0.004433689208774111,5,1,0,1,13.705,1.077,0.041,14.824
13,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00944,0.015,0.0058,0.0082,0.0036097645352571126,5,1,0,1,14.02,1.067,0.041,15.129
14,Stoicism,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00904,0.0122,0.0062,0.0082,0.002587353860607397,5,1,0,1,13.692,0.827,0.045,14.564
0,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01572,0.0194,0.013,0.0156,0.002141401410291868,5,1,0,1,12.632,0.829,0.039,13.499
1,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0166,0.0178,0.015,0.0172,0.0010954451150103322,5,1,0,1,12.469,0.924,0.042,13.436
2,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.017,0.0206,0.0146,0.017,0.002112818023399081,5,1,0,1,12.674,0.935,0.046,13.655
3,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015560000000000001,0.0176,0.0128,0.0158,0.0019200000000000005,5,1,0,1,13.219,1.135,0.047,14.401
4,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01644,0.0208,0.014,0.0154,0.002512050954897213,5,1,0,1,13.195,1.757,0.035,14.987
5,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01476,0.0182,0.0124,0.0146,0.001940721515313313,5,1,0,1,13.031,1.113,0.068,14.212
6,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015279999999999998,0.0178,0.0124,0.0152,0.002171082679217906,5,1,0,1,13.297,0.844,0.045,14.186
7,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01664,0.0196,0.0136,0.017,0.0025593749236874222,5,1,0,1,13.29,1.112,0.048,14.45
8,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01328,0.0158,0.0096,0.0146,0.002313784778236732,5,1,0,1,13.333,1.008,0.045,14.386
9,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015,0.0184,0.0112,0.015,0.0023698101189757797,5,1,0,1,15.795,0.901,0.048,16.744
10,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01472,0.0174,0.011,0.0162,0.0024709512338368803,5,1,0,1,13.549,0.861,0.04,14.45
11,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01664,0.0192,0.0108,0.018,0.0030447331574376094,5,1,0,1,13.067,0.748,0.041,13.856
12,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01596,0.02,0.013,0.0152,0.002434419848752471,5,1,0,1,11.821,1.117,0.04,12.977
13,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.017599999999999998,0.0212,0.014,0.0172,0.003054177467011372,5,1,0,1,12.391,1.203,0.041,13.634
14,Friedrich Nietzsche,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.014279999999999998,0.0168,0.0114,0.015,0.001835647024893402,5,1,0,1,12.897,0.799,0.052,13.748
0,Artificial Superintelligence,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00708,0.0108,0.0036,0.0062,0.002584879107424562,5,1,0,1,15.04,1.114,0.044,16.198
1,Artificial Superintelligence,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00716,0.0122,0.0038,0.0052,0.0033212046007435317,5,1,0,1,15.072,0.905,0.047,16.024
2,Artificial Superintelligence,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00844,0.0132,0.005,0.0066,0.0030604574821421716,5,1,0,1,15.892,0.85,0.041,16.784
3,Artificial Superintelligence,wikipedia,full_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007279999999999999,0.0124,0.0048,0.0056,0.0028554509276119593,5,1,0,1,15.135,1.109,0.042,16.287
