iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,1,0,11.664,2.327,0.042,14.033
1,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0094,0.0156,0.0028,0.0082,0.004766550115125194,5,1,1,0,11.807,2.457,0.039,14.302
2,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0106,0.0186,0.0046,0.0082,0.005582830823157728,5,1,1,0,11.85,1.909,0.035,13.795
3,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01052,0.0196,0.0046,0.0088,0.005281817868878101,5,1,1,0,12.696,2.012,0.039,14.747
4,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009240000000000002,0.0118,0.0068,0.0088,0.0018906083676954357,5,1,1,0,11.514,1.57,0.034,13.118
5,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0094,0.0126,0.0064,0.0094,0.002442949037536395,5,1,1,0,11.18,2.903,0.043,14.126
6,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01024,0.0158,0.0074,0.0084,0.0031378973851928305,5,1,1,0,10.86,1.898,0.041,12.799
7,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009920000000000002,0.0166,0.0052,0.0078,0.004411983680840173,5,1,1,0,11.239,1.805,0.036,13.081
8,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00968,0.0152,0.0062,0.008,0.0033480740732546523,5,1,1,0,11.601,1.794,0.047,13.442
9,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00948,0.0148,0.0066,0.0078,0.003115381196579321,5,1,1,0,11.77,1.967,0.035,13.772
10,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01056,0.0154,0.0072,0.0082,0.003571890255872932,5,1,1,0,11.107,2.109,0.039,13.254
11,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009,0.013,0.005,0.0082,0.0033490297102295166,5,1,1,0,11.789,1.917,0.043,13.749
12,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.010879999999999999,0.0168,0.006,0.0092,0.00388350357280639,5,1,1,0,11.342,3.069,0.046,14.457
13,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01,0.0148,0.0054,0.009,0.0032716968074685653,5,1,1,0,11.463,1.726,0.05,13.239
14,Stoicism,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.009240000000000002,0.0122,0.0066,0.008,0.002232129028528593,5,1,1,0,12.104,1.794,0.042,13.94
0,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01572,0.0194,0.013,0.0156,0.002141401410291868,5,1,1,0,12.278,3.682,0.036,15.995
1,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01612,0.018,0.0134,0.016,0.0015929846201391893,5,1,1,0,10.998,2.144,0.039,13.181
2,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01772,0.0206,0.0146,0.018,0.0019863534428696218,5,1,1,0,10.994,1.997,0.039,13.03
3,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016319999999999998,0.0174,0.0144,0.0166,0.0010777754868245982,5,1,1,0,11.137,2.592,0.041,13.77
4,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01772,0.0218,0.0142,0.0178,0.002431789464571306,5,1,1,0,10.769,3.03,0.041,13.84
5,Friedrich Nietzsche,wikipedia,partial_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01552,0.019,0.0134,0.0148,0.0018787229705307803,5,1,1,0,10.507,3.049,0.039,13.595
