iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec
0,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00872,0.0144,0.0052,0.0068,0.003643295211755424,5,1,1,0,11.439,2.626,0.04,14.107
1,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.006559999999999999,0.0116,0.004,0.0064,0.0027405109012737018,5,1,1,0,11.879,1.822,0.036,13.738
2,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007680000000000001,0.0148,0.0044,0.007,0.0037791004220581385,5,1,1,0,10.813,3.197,0.035,14.045
3,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00712,0.012,0.0044,0.0062,0.002691022110648666,5,1,1,0,11.406,1.576,0.035,13.018
4,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00796,0.0162,0.003,0.0064,0.004467482512556708,5,1,1,0,11.095,2.801,0.038,13.934
5,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007039999999999999,0.0122,0.0046,0.0062,0.0027724357521861534,5,1,1,0,11.226,1.509,0.04,12.775
6,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00736,0.0122,0.0052,0.006,0.0026150334605889846,5,1,1,0,12.881,1.76,0.039,14.68
7,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0066,0.0134,0.0034,0.0056,0.0035349681752457124,5,1,1,0,12.404,1.777,0.037,14.218
8,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0122,0.0044,0.0068,0.0027845286854331383,5,1,1,0,11.684,2.052,0.036,13.773
9,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00668,0.0094,0.0038,0.0054,0.002296432015105172,5,1,1,0,11.279,1.604,0.042,12.925
10,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007519999999999999,0.0132,0.0038,0.0066,0.0032853614717409715,5,1,1,0,11.634,1.679,0.042,13.355
11,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.011,0.0036,0.0072,0.0027235271248878716,5,1,1,0,18.258,3.957,0.066,22.281
12,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.0114,0.005,0.0074,0.0023405982141324467,5,1,1,0,13.962,1.767,0.04,15.769
13,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00796,0.0126,0.0054,0.0074,0.002546841180757057,5,1,1,0,10.914,2.115,0.037,13.066
14,Stoicism,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007520000000000001,0.0124,0.004,0.0072,0.002787400222429495,5,1,1,0,11.889,2.372,0.037,14.298
0,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.016120000000000002,0.017,0.0152,0.0164,0.0006997142273814364,5,1,1,0,11.605,1.816,0.042,13.464
1,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015639999999999998,0.0172,0.0136,0.0156,0.0014221111067704946,5,1,1,0,11.669,2.877,0.045,14.591
2,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01688,0.0196,0.0138,0.0172,0.0018701871564097534,5,1,1,0,11.18,1.884,0.042,13.106
3,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01668,0.0196,0.012,0.0176,0.002646053665366596,5,1,1,0,12.627,1.709,0.037,14.373
4,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.015400000000000002,0.0186,0.013,0.0154,0.0018761663039293715,5,1,1,0,11.426,1.673,0.043,13.142
5,Friedrich Nietzsche,wikipedia,random_ctr,gpt-4o-mini,film_best_dimensions_mpnet,True,0.01356,0.0168,0.0112,0.0122,0.002214136400495687,5,1,1,0,12.225,2.586,0.033,14.845
